nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
51,getresgid,ok,long,3,gid_t * rgidp,gid_t * egidp,gid_t * sgidp,,,
52,setresgid,ok,long,3,gid_t rgid,gid_t egid,gid_t sgid,,,
53,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
54,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
55,getpgid,ok,long,1,pid_t pid,,,,,
56,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
57,setsid,ok,long,0,,,,,,
58,getsid,ok,long,1,pid_t pid,,,,,
59,sethostname,ok,long,2,char * name,int len,,,,
60,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
61,getrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
62,getrusage,ok,long,2,int who,struct rusage * ru,,,,
63,gettimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
64,settimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
65,select,ok,long,5,int n,fd_set * inp,fd_set * outp,fd_set * exp,struct __kernel_old_timeval * tvp,
66,poll,ok,long,3,struct pollfd * ufds,unsigned int nfds,int timeout_msecs,,,
67,symlink,ok,long,2,const char * oldname,const char * newname,,,,
68,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
69,uselib,ok,long,1,const char * library,,,,,
70,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
71,swapoff,ok,long,1,const char * specialfile,,,,,
72,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
73,truncate,ok,long,2,const char * path,long length,,,,
74,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
75,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
76,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
77,getpriority,ok,long,2,int which,int who,,,,
78,setpriority,ok,long,3,int which,int who,int niceval,,,
79,statfs,ok,long,2,const char * pathname,struct statfs * buf,,,,
80,fstatfs,ok,long,2,unsigned int fd,struct statfs * buf,,,,
81,gettid,ok,long,0,,,,,,
82,semget,ok,long,3,key_t key,int nsems,int semflg,,,
83,semop,ok,long,3,int semid,struct sembuf * tsops,unsigned nsops,,,
84,semctl,ok,long,4,int semid,int semnum,int cmd,unsigned long arg,,
85,msgget,ok,long,2,key_t key,int msgflg,,,,
86,msgsnd,ok,long,4,int msqid,struct msgbuf * msgp,size_t msgsz,int msgflg,,
87,msgrcv,ok,long,5,int msqid,struct msgbuf * msgp,size_t msgsz,long msgtyp,int msgflg,
88,msgctl,ok,long,3,int msqid,int cmd,struct msqid_ds * buf,,,
89,shmget,ok,long,3,key_t key,size_t size,int shmflg,,,
90,shmat,ok,long,3,int shmid,char * shmaddr,int shmflg,,,
91,shmdt,ok,long,1,char * shmaddr,,,,,
92,shmctl,ok,long,3,int shmid,int cmd,struct shmid_ds * buf,,,
93,syslog,ok,long,3,int type,char * buf,int len,,,
94,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
95,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
99,vhangup,ok,long,0,,,,,,
100,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
101,remap_file_pages,ok,long,5,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,
102,wait4,ok,long,4,pid_t upid,int * stat_addr,int options,struct rusage * ru,,
103,sysinfo,ok,long,1,struct sysinfo * info,,,,,
104,clone,ok,long,5,unsigned long clone_flags,unsigned long newsp,int * parent_tidptr,int * child_tidptr,unsigned long tls,
105,setdomainname,ok,long,2,char * name,int len,,,,
106,uname,ok,long,1,struct old_utsname * name,,,,,
107,adjtimex,ok,long,1,struct __kernel_timex * txc_p,,,,,
109,init_module,ok,long,3,void * umod,unsigned long len,const char * uargs,,,
110,delete_module,ok,long,2,const char * name_user,unsigned int flags,,,,
113,quotactl,ok,long,4,unsigned int cmd,const char * special,qid_t id,void * addr,,
114,bdflush,todo,,,,,,,,
115,sysfs,ok,long,3,int option,unsigned long arg1,unsigned long arg2,,,
116,personality,ok,long,1,unsigned int personality,,,,,
117,afs_syscall,todo,,,,,,,,
118,setfsuid,ok,long,1,uid_t uid,,,,,
119,setfsgid,ok,long,1,gid_t gid,,,,,
120,getdents,ok,long,3,unsigned int fd,struct linux_dirent * dirent,unsigned int count,,,
121,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
122,readv,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
123,writev,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
124,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
125,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
126,_sysctl,todo,,,,,,,,
127,mmap,ok,unsigned long,6,unsigned long addr,unsigned long len,int prot,int flags,int fd,long off
128,munmap,ok,long,2,unsigned long addr,size_t len,,,,
